a,b,c,d,e,f,g,h,i,j,k,Initial,First_trust_based_updated
True,True,True,True,True,True,True,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,True,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,True,False,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,True,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,True,False,False,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,True,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,True,False,False,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,True,False,False,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,True,True,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,True,True,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,True,False,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,True,False,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,False,True,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,False,True,False,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,False,False,True,0.00048828125,0.001953125
True,True,True,True,False,False,True,False,False,False,False,0.00048828125,0.001953125
